country,country_name,iso_name,lat_center,long_center
European Union - 27 countries (from 2020),European Union,EU,,
Belgium,Belgium,BEL,50.503887,4.469936
Bulgaria,Bulgaria,BGR,42.733883,25.48583
Czechia,Czechia,CZE,49.817492,15.472962
Czech Republic,Czechia,CZE,49.817492,15.472962
Denmark,Denmark,DNK,56.26392,9.501785
Germany (until 1990 former territory of the FRG),Germany,DEU,51.165691,10.451526
Germany,Germany,DEU,51.165691,10.451526
Estonia,Estonia,EST,58.595272,25.013607
Ireland,Ireland,IRL,53.41291,-8.24389
Greece,Greece,GRC,39.074208,21.824312
Spain,Spain,ESP,40.463667,-3.74922
France,France,FRA,46.227638,2.213749
Croatia,Croatia,HRV,45.1,15.2
Italy,Italy,ITA,41.87194,12.56738
Cyprus,Cyprus,CYP,35.126413,33.429859
Belarus,Belarus,BLR,53.709807,27.953389
Latvia,Latvia,LVA,56.879635,24.603189
Lithuania,Lithuania,LTU,55.169438,23.881275
Luxembourg,Luxembourg,LUX,49.815273,6.129583
Hungary,Hungary,HUN,47.162494,19.503304
Netherlands,Netherlands,NLD,52.132633,5.291266
Austria,Austria,AUT,47.516231,14.550072
Poland,Poland,POL,51.919438,19.145136
Portugal,Portugal,PRT,39.399872,-8.224454
Romania,Romania,ROU,45.943161,24.96676
Slovenia,Slovenia,SVN,46.151241,14.995463
Slovakia,Slovakia,SVK,48.669026,19.699024
Slovak Republic,Slovakia,SVK,48.669026,19.699024
Finland,Finland,FIN,61.92411,25.748151
Sweden,Sweden,SWE,60.128161,18.643501
Iceland,Iceland,ISL,64.963051,-19.020835
Norway,Norway,NOR,60.472024,8.468946
Switzerland,Switzerland,CHE,46.818188,8.227512
United Kingdom,UK,GBR,55.378051,-3.435973
Turkey,Turkey,TUR,38.963745,35.243322
